Area Code4,Geography3,Area.x,Por_18,Bungalow_Total,Por_19,Flat/Maisonette_Total,Por_20,Terraced_House_Total,Por_21,Semi_detached_House_Total,Por_22,Detached_House_Total,Por_23,Annexe,Por_24,Other1,Por_25,Unknown2,Total,1,Area.y,AREA_NAME,BP_PRE_1900,Por_1,BP_1900_1918,Por_2,BP_1919_1929,Por_3,BP_1930_1939,Por_4,Por_14,BP_1945_1954,Por_5,BP_1955_1964,Por_6,BP_1965_1972,Por_7,Por_15,BP_1973_1982,Por_8,BP_1983_1992,Por_9,BP_1993_1999,Por_10,Por_16,BP_2000_2009,Por_11,BP_2010_2015,Por_12,BP_UNKNOWN,Por_13,Por_17,ALL_PROPERTIES,MODE1_VAL,MODE1_TYPE,MODE1_PC,MODE2_VAL,MODE2_TYPE,MODE2_PC,MODE2_MODE1_RATIO
E01003972,LSOA,Southwark 016D,0,0,0.881578947,670,0.105263158,80,0,0,0,0,0,0,0,0,0.013157895,10,760,LSOA,Southwark 016D,Southwark 016D,290,0.381578947,90,0.118421053,0,0,0,0,0,10,0.013157895,60,0.078947368,300,0.394736842,0.486842105,1,0.001315789,0,0,0,0,0.001315789,1,0.001315789,10,0.013157895,1,0.001315789,0.015789473,760,300,BP_1965_1972,0.39,290,BP_PRE_1900,0.38,0.97
E01003973,LSOA,Southwark 016E,0,0,0.936708861,740,0.050632911,40,0,0,0,0,0,0,0,0,0.012658228,10,790,LSOA,Southwark 016E,Southwark 016E,200,0.253164557,60,0.075949367,0,0,0,0,0,110,0.139240506,160,0.202531646,250,0.316455696,0.658227848,1,0.001265823,0,0,0,0,0.001265823,1,0.001265823,0,0,10,0.012658228,0.013924051,790,250,BP_1965_1972,0.32,200,BP_PRE_1900,0.25,0.8
E01003974,LSOA,Southwark 015E,0,0,0.916666667,440,0.083333333,40,0,0,0,0,0,0,0,0,0,0,480,LSOA,Southwark 015E,Southwark 015E,40,0.083333333,60,0.125,0,0,1,0.002083333,0.002083333,0,0,10,0.020833333,280,0.583333333,0.604166666,0,0,0,0,0,0,0,60,0.125,0,0,30,0.0625,0.1875,480,280,BP_1965_1972,0.58,60,BP_2000_2009,0.13,0.21
E01003975,LSOA,Southwark 004A,0,0,0.898550725,620,0.057971014,40,0,0,0,0,0,0,0,0,0.057971014,40,690,LSOA,Southwark 004A,Southwark 004A,20,0.027027027,0,0,0,0,180,0.243243243,0.243243243,170,0.22972973,90,0.121621622,0,0,0.351351352,0,0,20,0.027027027,0,0,0.027027027,150,0.202702703,50,0.067567568,60,0.081081081,0.351351352,740,180,BP_1930_1939,0.24,170,BP_1945_1954,0.23,0.94
E01003976,LSOA,Southwark 003A,0,0,0.906542056,970,0.037383178,40,0,0,0.009345794,10,0,0,0,0,0.037383178,40,1070,LSOA,Southwark 003A,Southwark 003A,220,0.205607477,1,0.000934579,0,0,40,0.037383178,0.037383178,10,0.009345794,340,0.317757009,0,0,0.327102803,0,0,1,0.000934579,60,0.056074766,0.057009345,200,0.186915888,160,0.14953271,60,0.056074766,0.392523364,1070,340,BP_1955_1964,0.32,220,BP_PRE_1900,0.21,0.65
E01003977,LSOA,Southwark 010A,0,0,0.837837838,620,0.094594595,70,0,0,0,0,0,0,0,0,0.081081081,60,740,LSOA,Southwark 010A,Southwark 010A,30,0.037974684,0,0,0,0,1,0.001265823,0.001265823,1,0.001265823,60,0.075949367,60,0.075949367,0.153164557,430,0.544303797,80,0.101265823,1,0.001265823,0.646835443,1,0.001265823,40,0.050632911,70,0.088607595,0.140506329,790,430,BP_1973_1982,0.54,80,BP_1983_1992,0.1,0.19
E01003978,LSOA,Southwark 004B,0,0,0.911290323,1130,0.032258065,40,0,0,0,0,0,0,0,0,0.056451613,70,1240,LSOA,Southwark 004B,Southwark 004B,20,0.01369863,1,0.000684932,1,0.000684932,140,0.095890411,0.096575343,0,0,110,0.075342466,0,0,0.075342466,1,0.000684932,160,0.109589041,100,0.068493151,0.178767124,310,0.212328767,500,0.342465753,120,0.082191781,0.636986301,1460,500,BP_2010_2015,0.34,310,BP_2000_2009,0.21,0.62
E01003979,LSOA,Southwark 006E,0,0,0.863636364,760,0.068181818,60,0,0,0,0,0,0,0,0,0.056818182,50,880,LSOA,Southwark 006E,Southwark 006E,190,0.218390805,30,0.034482759,30,0.034482759,130,0.149425287,0.183908046,0,0,60,0.068965517,90,0.103448276,0.172413793,0,0,80,0.091954023,140,0.16091954,0.252873563,20,0.022988506,60,0.068965517,50,0.057471264,0.149425287,870,190,BP_PRE_1900,0.22,140,BP_1993_1999,0.16,0.74
E01003980,LSOA,Southwark 013A,0.021505376,20,0.666666667,620,0.23655914,220,0,0,0,0,0,0,0,0,0.086021505,80,930,LSOA,Southwark 013A,Southwark 013A,370,0.397849462,1,0.001075269,0,0,20,0.021505376,0.021505376,0,0,0,0,0,0,0,320,0.344086022,1,0.001075269,10,0.010752688,0.355913979,120,0.129032258,20,0.021505376,90,0.096774194,0.247311828,930,370,BP_PRE_1900,0.4,320,BP_1973_1982,0.34,0.86
E01003981,LSOA,Southwark 006F,0,0,0.772727273,510,0.03030303,20,0,0,0,0,0,0,0,0,0.196969697,130,660,LSOA,Southwark 006F,Southwark 006F,120,0.176470588,0,0,0,0,50,0.073529412,0.073529412,0,0,80,0.117647059,110,0.161764706,0.279411765,40,0.058823529,40,0.058823529,40,0.058823529,0.176470587,30,0.044117647,30,0.044117647,150,0.220588235,0.308823529,680,150,BP_UNKNOWN,0.22,120,BP_PRE_1900,0.18,0.8
