1,Area Code4,Area,Bungalow,Flat/Maisonette,Terraced House,Semi0detached House,Detached House,Unknown,AREA_NAME,BP_PRE_1900,Por_1,BP_1900_1918,Por_2,BP_1919_1929,Por_3,BP_1930_1939,Por_4,Por_14,BP_1945_1954,Por_5,BP_1955_1964,Por_6,BP_1965_1972,Por_7,Por_15,BP_1973_1982,Por_8,BP_1983_1992,Por_9,BP_1993_1999,Por_10,Por_16,BP_2000_2009,Por_11,BP_2010_2015,Por_12,BP_UNKNOWN,Por_13,Por_17,ALL_PROPERTIES,MODE1_VAL,MODE1_TYPE,MODE1_PC,MODE2_VAL,MODE2_TYPE,MODE2_PC,MODE2_MODE1_RATIO
LSOA,E01000122,Barnet 009E,0,40,40,440,20,0,Barnet 009E,0,0,0,0,0,0,470,0.886792453,0.886792453,10,0.018867925,10,0.018867925,0,0,0.03773585,0,0,0,0,50,0.094339623,0.094339623,0,0,1,0.001886792,0,0,0.001886792,530,470,BP_1930_1939,0.89,50,BP_1993_1999,0.09,0.11
LSOA,E01000123,Barnet 010D,10,140,330,210,20,0,Barnet 010D,180,0.257142857,60,0.085714286,60,0.085714286,150,0.214285714,0.3,10,0.014285714,30,0.042857143,0,0,0.057142857,1,0.001428571,190,0.271428571,0,0,0.272857142,10,0.014285714,1,0.001428571,0,0,0.015714285,700,190,BP_1983_1992,0.27,180,BP_PRE_1900,0.26,0.95
LSOA,E01000124,Barnet 010E,0,370,270,40,0,0,Barnet 010E,60,0.086956522,220,0.31884058,20,0.028985507,20,0.028985507,0.057971014,10,0.014492754,60,0.086956522,160,0.231884058,0.333333334,40,0.057971014,1,0.001449275,0,0,0.059420289,70,0.101449275,30,0.043478261,1,0.001449275,0.146376811,690,220,BP_1900_1918,0.32,160,BP_1965_1972,0.23,0.73
LSOA,E01000125,Barnet 024A,0,650,400,0,0,0,Barnet 024A,0,0,0,0,180,0.169811321,1,0.000943396,0.170754717,0,0,0,0,20,0.018867925,0.018867925,260,0.245283019,120,0.113207547,20,0.018867925,0.377358491,400,0.377358491,20,0.018867925,30,0.028301887,0.424528303,1060,400,BP_2000_2009,0.38,260,BP_1973_1982,0.25,0.65
LSOA,E01000126,Barnet 026A,10,460,290,30,0,0,Barnet 026A,0,0,0,0,0,0,20,0.025316456,0.025316456,0,0,0,0,30,0.037974684,0.037974684,350,0.443037975,0,0,30,0.037974684,0.481012659,330,0.417721519,30,0.037974684,10,0.012658228,0.468354431,790,350,BP_1973_1982,0.44,330,BP_2000_2009,0.42,0.94
LSOA,E01000127,Barnet 024B,0,130,390,10,0,0,Barnet 024B,0,0,0,0,530,1,1,0.001886792,1.001886792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,530,BP_1919_1929,1,1,BP_1930_1939,0,0
LSOA,E01000128,Barnet 024C,0,80,390,170,0,0,Barnet 024C,0,0,0,0,470,0.734375,160,0.25,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0015625,0,0,0,0,0.0015625,640,470,BP_1919_1929,0.73,160,BP_1930_1939,0.25,0.34
LSOA,E01000129,Barnet 024D,0,400,210,10,0,0,Barnet 024D,1,0.001587302,10,0.015873016,380,0.603174603,50,0.079365079,0.682539682,20,0.031746032,60,0.095238095,40,0.063492063,0.19047619,60,0.095238095,0,0,10,0.015873016,0.111111111,1,0.001587302,1,0.001587302,0,0,0.003174604,630,380,BP_1919_1929,0.6,60,BP_1973_1982,0.1,0.16
LSOA,E01000130,Barnet 021A,0,230,360,20,0,0,Barnet 021A,0,0,0,0,290,0.46031746,20,0.031746032,0.492063492,0,0,0,0,0,0,0,80,0.126984127,1,0.001587302,190,0.301587302,0.430158731,0,0,50,0.079365079,0,0,0.079365079,630,290,BP_1919_1929,0.46,190,BP_1993_1999,0.3,0.66
LSOA,E01000131,Barnet 024E,0,250,80,330,10,0,Barnet 024E,0,0,10,0.014925373,70,0.104477612,350,0.52238806,0.626865672,0,0,0,0,0,0,0,30,0.044776119,200,0.298507463,10,0.014925373,0.358208955,1,0.001492537,0,0,1,0.001492537,0.002985074,670,350,BP_1930_1939,0.52,200,BP_1983_1992,0.3,0.57
LSOA,E01000132,Barnet 021B,0,70,430,10,0,0,Barnet 021B,0,0,0,0,510,0.980769231,0,0,0.980769231,0,0,0,0,0,0,0,0,0,0,0,10,0.019230769,0.019230769,0,0,0,0,0,0,0,520,510,BP_1919_1929,0.98,10,BP_1993_1999,0.02,0.02
LSOA,E01000133,Barnet 021C,0,120,450,30,0,0,Barnet 021C,0,0,0,0,580,0.950819672,1,0.001639344,0.952459016,10,0.016393443,0,0,0,0,0.016393443,0,0,1,0.001639344,10,0.016393443,0.018032787,1,0.001639344,0,0,0,0,0.001639344,610,580,BP_1919_1929,0.95,10,BP_1993_1999,0.02,0.02
